,"academic","casual","conversational","creative","formal","journalistic","professional","technical"
"A",165,96,140,55,130,54,232,111
"B",142,84,168,48,166,47,240,115
"C",144,104,139,36,147,52,270,97
"D",145,91,136,47,146,40,253,94
"E",140,95,139,51,150,48,239,96
"F",124,99,164,53,130,49,239,76
"G",124,97,150,47,142,48,247,82
"H",140,116,153,49,146,35,213,104
"J",131,91,169,37,135,65,226,99
"K",137,99,148,38,146,54,232,95
"L",131,95,165,54,121,47,205,93
"M",148,86,134,45,139,46,254,92
"N",135,92,135,43,153,55,234,111
"P",159,84,134,46,160,54,245,80
"Q",149,105,148,46,156,34,202,99
"R",149,81,155,36,156,61,228,98
"S",133,92,137,52,144,49,226,92
"T",142,84,152,44,127,52,227,104
"U",140,110,140,43,156,52,257,100
"V",143,90,153,53,127,53,263,91
"Z",144,91,133,30,151,34,207,83
