,"academic","casual","conversational","creative","formal","journalistic","professional","technical"
"Cartographic materials",210,162,230,61,219,72,347,131
"Commemorative works",235,157,236,55,225,72,353,130
"Creative nonfiction",197,141,190,65,214,72,363,156
"Discursive works",202,147,207,67,212,79,363,130
"Ephemera",219,146,214,54,194,70,327,149
"Informational works",209,137,230,70,231,86,358,151
"Instructional and educational works",220,128,226,76,199,69,340,149
"Law materials",227,132,222,72,247,71,374,140
"Literature",218,132,213,80,226,83,363,133
"Music",209,149,232,75,201,77,354,141
"Recreational works",219,139,200,76,224,64,337,135
"Religious materials",201,124,227,59,184,75,340,163
"Sound recordings",184,152,226,70,235,62,352,161
"Visual works",215,136,239,73,217,77,368,143
