,category_retrieval,form_retrieval,geographic_clustering,lcc_classification,lcc_clustering,lcc_retrieval,lcgft_category_classification,lcgft_clustering,register_classification,register_clustering,same_audience_pairs,same_form_pairs,same_lcc_pairs,same_register_pairs,same_topic_pairs,topic_overlap_pairs
category_retrieval,1.0,0.9677595567406441,-0.20525377641564685,0.09343479723338356,-0.35305832213086064,-0.07958864414791274,0.3626918050726964,0.6213494209816101,0.6556609406590699,0.35662053465449106,-0.4069135871317394,0.2926481207308043,-0.2022029224581677,0.10328759164814791,-0.30732114770348706,-0.2675323616464932
form_retrieval,0.9677595567406441,1.0,-0.32175657819639725,0.1985894160872197,-0.1955629791906953,0.004362567719992395,0.46536335625176345,0.46508530212079235,0.5889496272567487,0.17061930119844085,-0.43156362180833985,0.3986284403506819,-0.11650645843913293,0.1414400471638307,-0.23980670090155848,-0.19887296092235435
geographic_clustering,-0.20525377641564685,-0.32175657819639725,1.0,-0.41330954047354485,-0.5835770374650466,-0.43144465484745653,-0.550881304113986,0.4945414836063559,-0.013467067354186943,0.6478046828673564,-0.21442695743494322,-0.5705146292978065,-0.6815481300041992,-0.2177213031017203,-0.5969072233067133,-0.6342179819406004
lcc_classification,0.09343479723338356,0.1985894160872197,-0.41330954047354485,1.0,0.7195135113983298,0.9556207890412224,0.9105689822798392,-0.436296483251581,0.43458416817467194,-0.5925627601979225,0.14651402627162216,0.4423280922227401,0.5564455086129844,0.12657005083652015,0.5927836755601108,0.617524965862369
lcc_clustering,-0.35305832213086064,-0.1955629791906953,-0.5835770374650466,0.7195135113983298,1.0,0.872621156190875,0.6450233738083735,-0.7923349998112486,-0.11651545405405915,-0.9190397349638805,0.26612961464772467,0.5306569368857855,0.8697453206017371,0.06703973239548848,0.9029522055520067,0.9200980005025696
lcc_retrieval,-0.07958864414791274,0.004362567719992395,-0.43144465484745653,0.9556207890412224,0.872621156190875,1.0,0.8022508070146086,-0.5799705143122896,0.23615073811409393,-0.6827014755190923,0.2840852477311653,0.4684414930134906,0.7235289735452531,0.029833306677806298,0.7681632949314228,0.785882236049844
lcgft_category_classification,0.3626918050726964,0.46536335625176345,-0.550881304113986,0.9105689822798392,0.6450233738083735,0.8022508070146086,1.0,-0.26339596234977875,0.5839126345731742,-0.5614747698895841,0.01017623545195683,0.5202898949896468,0.4744702779779543,0.2162193363965252,0.4721848925948546,0.5132049754803693
lcgft_clustering,0.6213494209816101,0.46508530212079235,0.4945414836063559,-0.436296483251581,-0.7923349998112486,-0.5799705143122896,-0.26339596234977875,1.0,0.44185896110635764,0.8728961529490781,-0.3905949862766622,-0.2591326543267716,-0.74642202380201,-0.042711482358264746,-0.7977786217154542,-0.7914625721890014
register_classification,0.6556609406590699,0.5889496272567487,-0.013467067354186943,0.43458416817467194,-0.11651545405405915,0.23615073811409393,0.5839126345731742,0.44185896110635764,1.0,0.25024389751951026,-0.2191192522971744,0.057887607808269306,-0.24457184024467632,0.018841387813845936,-0.21642381616161485,-0.17833679126636806
register_clustering,0.35662053465449106,0.17061930119844085,0.6478046828673564,-0.5925627601979225,-0.9190397349638805,-0.6827014755190923,-0.5614747698895841,0.8728961529490781,0.25024389751951026,1.0,-0.23930539236068218,-0.446320489295824,-0.7811703034469414,-0.18411375214652487,-0.7998886284593089,-0.8150608862612327
same_audience_pairs,-0.4069135871317394,-0.43156362180833985,-0.21442695743494322,0.14651402627162216,0.26612961464772467,0.2840852477311653,0.01017623545195683,-0.3905949862766622,-0.2191192522971744,-0.23930539236068218,1.0,-0.09838986906513901,0.44292861026221536,-0.05154677171835746,0.5067040832112142,0.4624712685026387
same_form_pairs,0.2926481207308043,0.3986284403506819,-0.5705146292978065,0.4423280922227401,0.5306569368857855,0.4684414930134906,0.5202898949896468,-0.2591326543267716,0.057887607808269306,-0.446320489295824,-0.09838986906513901,1.0,0.6266679490133232,-0.024136109506591053,0.5335712745615294,0.5434540219388375
same_lcc_pairs,-0.2022029224581677,-0.11650645843913293,-0.6815481300041992,0.5564455086129844,0.8697453206017371,0.7235289735452531,0.4744702779779543,-0.74642202380201,-0.24457184024467632,-0.7811703034469414,0.44292861026221536,0.6266679490133232,1.0,-0.09094962374883961,0.9720275874941401,0.9727531772621553
same_register_pairs,0.10328759164814791,0.1414400471638307,-0.2177213031017203,0.12657005083652015,0.06703973239548848,0.029833306677806298,0.2162193363965252,-0.042711482358264746,0.018841387813845936,-0.18411375214652487,-0.05154677171835746,-0.024136109506591053,-0.09094962374883961,1.0,-0.09776596280416226,-0.047113098785186644
same_topic_pairs,-0.30732114770348706,-0.23980670090155848,-0.5969072233067133,0.5927836755601108,0.9029522055520067,0.7681632949314228,0.4721848925948546,-0.7977786217154542,-0.21642381616161485,-0.7998886284593089,0.5067040832112142,0.5335712745615294,0.9720275874941401,-0.09776596280416226,1.0,0.9938754259802757
topic_overlap_pairs,-0.2675323616464932,-0.19887296092235435,-0.6342179819406004,0.617524965862369,0.9200980005025696,0.785882236049844,0.5132049754803693,-0.7914625721890014,-0.17833679126636806,-0.8150608862612327,0.4624712685026387,0.5434540219388375,0.9727531772621553,-0.047113098785186644,0.9938754259802757,1.0
