,category_retrieval,form_retrieval,geographic_clustering,lcc_classification,lcc_clustering,lcc_retrieval,lcgft_category_classification,lcgft_clustering,register_classification,register_clustering,same_audience_pairs,same_form_pairs,same_lcc_pairs,same_register_pairs,same_topic_pairs,topic_overlap_pairs
category_retrieval,1.0,0.9100346020761245,-0.34689265536723163,0.103954802259887,-0.415819209039548,-0.1240731586752348,0.40451977401129946,0.576108466915638,0.7523298803251274,0.4858757062146893,-0.3214916029411889,0.29134717511174407,-0.1483117821285552,0.1293568249871152,-0.2892383102005192,-0.29933388821798934
form_retrieval,0.9100346020761245,1.0,-0.5016949152542373,0.23163841807909605,-0.2305084745762712,-0.028175976272862086,0.5050847457627119,0.3942389312814856,0.6054787024838862,0.29265536723163843,-0.35364076323530774,0.48162524168914866,0.025992786558612764,0.22435324333702794,-0.11963259950702104,-0.13275685092973222
geographic_clustering,-0.34689265536723163,-0.5016949152542373,1.0,-0.5561047948591201,-0.3198220464656451,-0.38757062146892657,-0.565002471576866,0.2851495021570889,-0.12799605036167422,0.39100346020761245,-0.2571932823529511,-0.6695206119700452,-0.5621577171401937,-0.24860764802211205,-0.47793784933630323,-0.46876633410383683
lcc_classification,0.103954802259887,0.23163841807909605,-0.5561047948591201,1.0,0.6421156697973307,0.8723163841807909,0.8783984181908058,-0.4195700646990788,0.36422042129943594,-0.5076618882847257,0.2250441220588322,0.7775406802635381,0.7221917363442018,0.22435324333702794,0.7143591308843252,0.7163972453804289
lcc_clustering,-0.415819209039548,-0.2305084745762712,-0.3198220464656451,0.6421156697973307,1.0,0.8836158192090395,0.43450321304992584,-0.8050407955180205,-0.3523597834280839,-0.8180919426594168,0.35364076323530774,0.5350050552272051,0.9387982909993081,-0.0485088093701682,0.9426279544479328,0.9405898399518291
lcc_retrieval,-0.1240731586752348,-0.028175976272862086,-0.38757062146892657,0.8723163841807909,0.8836158192090395,1.0,0.6225988700564972,-0.639367435831865,0.01242586889425886,-0.6519774011299435,0.35364076323530774,0.6873730697769113,0.8847740679559168,-0.00404240078084735,0.9146593683827938,0.923745388598517
lcgft_category_classification,0.40451977401129946,0.5050847457627119,-0.565002471576866,0.8783984181908058,0.43450321304992584,0.6225988700564972,1.0,-0.20410181003618322,0.5767235164944935,-0.34157192288680177,-0.06429832058823777,0.8070933404570408,0.5483968301385752,0.3900916753517693,0.5044333377856505,0.49729993704928777
lcgft_clustering,0.576108466915638,0.3942389312814856,0.2851495021570889,-0.4195700646990788,-0.8050407955180205,-0.639367435831865,-0.20410181003618322,1.0,0.5424901185770751,0.9483568364635245,-0.3535533905932738,-0.3097168639616416,-0.7632857687118735,0.03839331938642434,-0.7885554365339165,-0.7793861872718942
register_classification,0.7523298803251274,0.6054787024838862,-0.12799605036167422,0.36422042129943594,-0.3523597834280839,0.01242586889425886,0.5767235164944935,0.5424901185770751,1.0,0.4472448863989003,-0.2892709559399513,0.2760962833342266,-0.24101079345842202,0.22429781325753165,-0.25877659028374006,-0.2638706176515302
register_clustering,0.4858757062146893,0.29265536723163843,0.39100346020761245,-0.5076618882847257,-0.8180919426594168,-0.6519774011299435,-0.34157192288680177,0.9483568364635245,0.4472448863989003,1.0,-0.35364076323530774,-0.3525938078259295,-0.8098536831693272,-0.09499641834991274,-0.8183029701856108,-0.817283912937559
same_audience_pairs,-0.3214916029411889,-0.35364076323530774,-0.2571932823529511,0.2250441220588322,0.35364076323530774,0.35364076323530774,-0.06429832058823777,-0.3535533905932738,-0.2892709559399513,-0.35364076323530774,1.0,-0.015632475810614686,0.3596311762665055,-0.06281001030561871,0.35581667272228257,0.35581667272228257
same_form_pairs,0.29134717511174407,0.48162524168914866,-0.6695206119700452,0.7775406802635381,0.5350050552272051,0.6873730697769113,0.8070933404570408,-0.3097168639616416,0.2760962833342266,-0.3525938078259295,-0.015632475810614686,1.0,0.7212462132759064,0.22489050788826825,0.6526426754430862,0.6378098873648342
same_lcc_pairs,-0.1483117821285552,0.025992786558612764,-0.5621577171401937,0.7221917363442018,0.9387982909993081,0.8847740679559168,0.5483968301385752,-0.7632857687118735,-0.24101079345842202,-0.8098536831693272,0.3596311762665055,0.7212462132759064,1.0,0.018823698239600825,0.9722388610206278,0.9662116291688071
same_register_pairs,0.1293568249871152,0.22435324333702794,-0.24860764802211205,0.22435324333702794,-0.0485088093701682,-0.00404240078084735,0.3900916753517693,0.03839331938642434,0.22429781325753165,-0.09499641834991274,-0.06281001030561871,0.22489050788826825,0.018823698239600825,1.0,-0.04562889979788662,-0.024211252953980657
same_topic_pairs,-0.2892383102005192,-0.11963259950702104,-0.47793784933630323,0.7143591308843252,0.9426279544479328,0.9146593683827938,0.5044333377856505,-0.7885554365339165,-0.25877659028374006,-0.8183029701856108,0.35581667272228257,0.6526426754430862,0.9722388610206278,-0.04562889979788662,1.0,0.9963302752293578
topic_overlap_pairs,-0.29933388821798934,-0.13275685092973222,-0.46876633410383683,0.7163972453804289,0.9405898399518291,0.923745388598517,0.49729993704928777,-0.7793861872718942,-0.2638706176515302,-0.817283912937559,0.35581667272228257,0.6378098873648342,0.9662116291688071,-0.024211252953980657,0.9963302752293578,1.0
